	dendritic	endothelial	eosinophil	erythroblast	macrophage	monocyte	neutrophil	placenta	tcell	adipose	brain	fibroblast	heart	hepatocyte	lung	mammary	megakaryocyte	skeletal	small	unknown1
sample11	0.00020820129580197705	0.09125011717257782	0.1923533890996042	0.005958894001153785	0.007683640022049586	0.1605380465439542	0.17750158021494286	7.253864925015207e-24	0.02639957649895955	0.00594649361789082	0.00027526956353518994	2.3973821290173163e-30	0.0069861895096179315	5.42897099439901e-10	0.020969226527363816	1.3229069828433085e-12	0.09591458785303435	2.9930494158264732e-31	0.20801222478910078	2.562746193265473e-06
sample12	3.156399266354462e-07	0.07747989158557615	0.1498918439037511	0.07333653022866399	0.0053798776073793585	0.16460506201949415	0.10155247643720958	1.4549367327942236e-09	0.1889847368499657	0.000743712535644698	8.870442285273807e-06	7.944001385810173e-14	1.0328136828840427e-05	1.517645365869141e-06	8.125039590299848e-05	0.015023161547684937	0.12587591570588627	4.675751542763965e-16	0.09696653823505356	5.796962836443982e-05
sample13	0.0069430781634036275	0.00939745412084768	0.2443941127489883	0.07815326541631	0.004250111116518882	0.16262365606189313	0.3934139360566406	1.1893022403184552e-06	0.089899476460889	1.8802382334866322e-12	4.674931783657459e-13	0.002726712562584503	8.74122388916291e-09	2.353069629684116e-08	3.8311046438503246e-10	0.0038299455643670357	0.00435287446887312	3.857402290740821e-06	1.6967458436606772e-06	8.601150930861111e-06
sample14	0.003274408128433575	3.337107007703732e-08	0.29708437103966884	0.09980018359186872	0.06831577891119181	0.07530280045019995	0.3451724587702955	6.1030079552810117e-05	0.08940890046400059	6.12926089015508e-09	1.3469576171343307e-07	6.063665135215057e-13	5.226949295602942e-11	2.7210480136816945e-06	2.1802509383863126e-05	0.0025168952974815757	0.016821723355294593	9.633413812343632e-08	0.0022165632570075523	9.251450025659308e-08
sample15	0.02624240687918422	0.012639526471868974	0.22725734480699705	0.08970528377714584	0.0009579660752696964	0.15768605063746477	0.4517642751391296	0.006708270590980862	0.025822809531105592	2.5728224085356594e-57	2.1680044353432707e-69	0.0009744391482531947	1.0637578157203697e-41	3.862446195726547e-48	9.927386840798962e-60	1.883770745589331e-42	0.0001609219680355064	5.061620751217221e-22	8.070497456473233e-05	2.3877682192136603e-32
sample16	7.696621592293311e-07	0.021305691282056824	0.20899044721346893	0.09431108796823583	0.20925797735982202	0.003024768526301263	0.24926547924044679	2.486721546706993e-06	0.04824201341316452	4.364075828427209e-08	1.03302998381064e-09	2.0877158177697176e-12	2.6126134575944213e-08	9.75726586382235e-11	1.991073057643128e-07	1.1576064555591074e-13	0.1271162924525493	7.58981740628887e-16	0.01183691098434917	0.026645805168893855
sample17	3.366366099173948e-05	0.14429455096329546	0.16540293532650527	0.00936367084269741	0.10931952874332569	0.09845611839220995	0.10053302784282502	0.00017756691343895868	0.2604281811080045	6.751791487715016e-06	1.1635900087586021e-07	2.9533962982154458e-08	0.009552925241047809	0.002944811182711357	3.0584102051686323e-06	0.007829977974011117	0.014239486941594739	8.261651080556684e-16	0.07731829057441497	9.530819826832273e-05
sample18	1.1390801296196949e-06	0.00017186157915008283	0.15280564089129228	0.019892682434174705	0.0015400716040585626	0.16283231897818312	0.41459357572909933	4.796826217344076e-12	0.03394890341918619	3.0810524346092816e-08	6.658219443438593e-13	6.653115022089694e-23	0.0005233763812691387	7.622730802475014e-20	7.727891353270297e-09	0.01284365651391604	0.1643343401593076	0.03651061442715026	7.249839455851514e-07	1.0552752591063463e-06
sample19	0.0009550102443496768	0.12690788363571934	0.19779245633625447	0.12524515816965578	0.020422745490391976	0.2104033755747775	0.14951428062014768	2.685395990013118e-10	0.07095201523113828	4.3611605016717927e-10	1.3090813790120322e-10	0.019482107713030807	9.943345957561065e-05	1.0173413676460286e-11	4.433602076447889e-11	3.6757836824487476e-09	0.03435396823025291	0.012698534044069966	0.02683126078688371	0.004341765897895178
sample20	1.319214080733215e-07	0.03784483465187701	0.23796937689067663	0.23851139932643914	0.07357209884516892	0.05860574927241777	0.15284014756259903	1.1521817435476186e-06	0.10273612946818868	1.900433982985784e-07	8.258789955736947e-09	0.004415491048952376	5.617547175684902e-07	0.0017817749219205268	1.6711062188716492e-08	0.004064624114441181	0.047385218792485674	0.012840162935238583	0.027430923558740446	7.73973417920166e-09
